Borough	Event Type	Audience	Attendance	Class
Manhattan	Community Based Event	General Public	95.0	AC&F
Manhattan	Agency Produced Event	General Public	31.0	AC&F
Manhattan	Community Based Event	General Public	69.0	Movies
Manhattan	Community Based Event	General Public	16.0	Movies
Staten Island	Community Based Event	Tot,Children,Young Adult,Adults,Teens,General Public	76.0	Other
Bronx	Community Based Event	General Public	40.0	Movies
Bronx	Community Based Event	General Public	31.0	Movies
Bronx	Community Based Event	General Public	60.0	Movies
Queens	Community Based Event	General Public	107.0	Movies
Queens	Community Based Event	General Public	153.0	Movies
Queens	Community Based Event	General Public	52.0	Movies
Manhattan	Agency Produced Event	Young Adult,Adults,Teens,Adaptive,Seniors,General Public	27.0	AC&F
Manhattan	Community Based Event	General Public	16.0	Other
Manhattan	Community Based Event	General Public	133.0	Movies
Manhattan	Community Based Event	General Public	336.0	Dance
Manhattan	Community Based Event	General Public	858.0	Other
Manhattan	Community Based Event	General Public	21.0	Other
Manhattan	Community Based Event	General Public	140.0	Movies
Manhattan	Community Based Event	General Public	111.0	Movies
Manhattan	Community Based Event	General Public	150.0	Other
Manhattan	Community Based Event	Tot,Children	70.0	Other
Manhattan	Community Based Event	General Public	130.0	AC&F
Staten Island	Community Based Event	General Public	250.0	Movies
Staten Island	Community Based Event	General Public	100.0	Movies
Staten Island	Community Based Event	General Public	55.0	Movies
Staten Island	Community Based Event	General Public	10.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	70.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	10.0	Movies
Bronx	Community Based Event	General Public	38.0	Movies
Bronx	Community Based Event	General Public	50.0	Movies
Bronx	Community Based Event	General Public	65.0	Movies
Manhattan	Open House	Children,Young Adult,Adults,Teens,Tot	200.0	Play
Manhattan	Tournament/Competition	Teens	40.0	Other
Bronx	Agency Produced Event	Children,Tot,Teens	500.0	Music
Brooklyn	Community Based Event	General Public	65.0	Movies
Brooklyn	Community Based Event	General Public	350.0	Movies
Manhattan	Community Based Event	Children,Tot,Young Adult,Adults,Teens,Seniors,General Public	450.0	Other
Bronx	Community Based Event	General Public	5.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Manhattan	Agency Produced Event	General Public	10.0	AC&F
Brooklyn	Community Based Event	General Public	200.0	Movies
Brooklyn	Community Based Event	General Public	130.0	Movies
Brooklyn	Community Based Event	General Public	80.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Manhattan	Community Based Event	General Public	50.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Bronx	Community Based Event	General Public	21.0	Movies
Manhattan	Community Based Event	General Public	139.0	Movies
Manhattan	Community Based Event	General Public	120.0	Other
Manhattan	Community Based Event	General Public	15.0	Dance
Manhattan	Community Based Event	General Public	72.0	Movies
Manhattan	Community Based Event	General Public	16.0	AC&F
Manhattan	Community Based Event	General Public	67.0	AC&F
Manhattan	Community Based Event	General Public	111.0	Movies
Manhattan	Community Based Event	General Public	67.0	Movies
Bronx	Community Based Event	General Public	20.0	Movies
Queens	Community Based Event	General Public	67.0	Movies
Queens	Community Based Event	General Public	21.0	Movies
Bronx	Community Based Event	General Public	73.0	Lecture/Panel/Talk
Manhattan	Community Based Event	General Public	1426.0	Dance
Manhattan	Community Based Event	General Public	55.0	Movies
Manhattan	Community Based Event	General Public	82.0	Other
Manhattan	Community Based Event	General Public	426.0	Other
Manhattan	Community Based Event	General Public	345.0	AC&F
Manhattan	Community Based Event	General Public	37.0	Movies
Manhattan	Community Based Event	General Public	32.0	AC&F
Manhattan	Community Based Event	General Public	18.0	Movies
Manhattan	Community Based Event	General Public	125.0	Dance
Bronx	Community Based Event	General Public	42.0	Movies
Bronx	Community Based Event	General Public	48.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	52.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	107.0	Movies
Queens	Community Based Event	General Public	68.0	Movies
Queens	Community Based Event	Teens	85.0	Movies
Queens	Community Based Event	General Public	112.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Brooklyn	Community Based Event	General Public	80.0	Movies
Manhattan	Community Based Event	General Public	23.0	Movies
Manhattan	Community Based Event	General Public	115.0	Movies
Manhattan	Community Based Event	General Public	65.0	Movies
Manhattan	Community Based Event	General Public	20.0	Movies
Manhattan	Community Based Event	General Public	15.0	Movies
Manhattan	Community Based Event	General Public	278.0	Movies
Manhattan	Community Based Event	General Public	256.0	Dance
Bronx	Community Based Event	General Public	19.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	Children,General Public	160.0	Play
Bronx	Community Based Event	Children,General Public	300.0	Play
Bronx	Community Based Event	Children,General Public	40.0	Play
Manhattan	Community Based Event	Young Adult,Adults,Teens,Adaptive,Seniors,General Public	33.0	AC&F
Staten Island	Community Based Event	General Public	95.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	125.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	45.0	Movies
Staten Island	Community Based Event	General Public	30.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	2.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	36.0	Movies
Staten Island	Community Based Event	General Public	35.0	Movies
