ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
123,R_1DA9Kq2GeQE6uDG,2017/06/15 17:39:59,1,5,Very Dissatisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
124,R_1dAF0YjAazvZ6GW,2017/06/13 18:30:59,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
125,R_1DAQ6v7uKpb6S2v,2017/06/13 11:58:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
126,R_1DAwHYY2B121VR7,2016/08/30 17:55:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
127,R_1dcRrECoYaJ6p9I,2018/05/31 10:25:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
128,R_1dcxgDqZAa8XU8o,2018/06/26 12:04:59,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
129,R_1dddXDlwxis2Gff,2017/06/13 13:41:00,1,1,Very Satisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
130,R_1dFFzRqawtuZwzX,2018/06/26 08:58:00,1,5,Very Dissatisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
131,R_1dfNDc7lvU2H4Yr,2016/09/15 11:42:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
132,R_1DHY8q1CAi9oRXp,2017/06/13 17:10:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
133,R_1DIq9VaB9jbgLrP,2016/08/30 18:46:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
134,R_1DIspV1X1Xdp9sV,2017/06/15 00:16:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
