Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,,08/12/2018 08:30:00 PM,Queens,Other,Beach 94th Street,"Movies Under the Stars ""North Shore""",Community Based Event,Mobile Unit,Movies,General Public,217
Recreation,,08/11/2018 08:30:00 PM,Queens,Other,Beach 94th Street,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0
Recreation,,08/10/2018 08:30:00 PM,Queens,Other,Beach 59th Street,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0
Recreation,,08/10/2018 12:00:00 AM,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Malcom X,Community Based Event,Mobile Unit,Movies,Teens;#Adults;#Seniors,55
Recreation,Commissioner Castro's Office & Muslim Volunteers for NYC,08/10/2018 04:00:00 PM,Manhattan,Park,Ruppert Park,Afternoon Concert: The Blue Dahlia,Community Based Event,Performance,Music,General Public,216
Recreation,,08/07/2018 06:00:00 PM,Manhattan,Park,Washington Square Park,Dance Away the Night Series: Strictly Tango Nights,Community Based Event,Fitness,Dance,Adults;#Seniors,175
Recreation,,08/10/2018 08:00:00 PM,Brooklyn,Park,Msgr. McGolrick Park,"Movies Under the Stars : "" The Greatest Showman""",Community Based Event,Mobile Unit,Movies,General Public,250
Recreation,,08/09/2018 08:00:00 PM,Brooklyn,Park,Commodore Barry Park,"Movies Under the Stars : ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,700
Recreation,,08/08/2018 08:00:00 PM,Brooklyn,Park,50 Kent St,"Movies Under the Stars : Dr Strange Love""",Community Based Event,Mobile Unit,Movies,General Public,200
Recreation,,08/05/2018 08:00:00 PM,Brooklyn,Other,Randall's Island Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,700
Recreation,,08/10/2018 08:00:00 PM,Bronx,Park,Pelham Bay Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,65
Recreation,,08/06/2018 08:30:00 PM,Queens,Park,Cunningham Park,"Movies Under the Stars: ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,931
Recreation,,08/10/2018 08:30:00 PM,Manhattan,Park,Twenty-Four Sycamores Park,"Movies Under the Stars: ""Peter Rabbit""",Community Based Event,Mobile Unit,Movies,General Public,99
Recreation,ASPCA,08/09/2018 08:30:00 PM,Manhattan,Playground,Matthew P. Sapolin Playground,"Movies Under the Stars: ""Isle of Dogs""",Community Based Event,Mobile Unit,Movies,General Public,315
Recreation,Council Member Rivera,08/08/2018 08:30:00 PM,Manhattan,Park,Bellevue South Park,"Movies Under the Stars: ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,236
Recreation,,08/09/2018 08:15:00 PM,Bronx,Recreation Center,West Bronx Recreation Center,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,18
Recreation,,08/09/2018 08:30:00 PM,Queens,Park,Macneil Park,"Movies Under the Stars ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,189
Recreation,,08/08/2018 08:15:00 PM,Bronx,Park,Vidalia Park,Movies Under The Stars: The Lego Batman Movie,Community Based Event,Mobile Unit,Movies,General Public,46
Recreation,,08/07/2018 08:15:00 PM,Bronx,Recreation Center,Owen Dolen Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,0
Recreation,,08/07/2018 08:30:00 PM,Queens,Park,Baisley Pond,"Movies Under the Stars ""Jumanji""",Community Based Event,Mobile Unit,Movies,General Public,0
Recreation,,08/06/2018 08:30:00 PM,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Beauty and the Beast""",Community Based Event,Mobile Unit,,General Public,340
Recreation,,08/05/2018 08:30:00 PM,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Escape to Witch Mountain""",Community Based Event,Mobile Unit,,General Public,177
Recreation,,08/04/2018 08:30:00 PM,Queens,Playground,Paul Raimonda Playground,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,164
Recreation,,08/04/2018 08:15:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,33
Recreation,,08/04/2018 06:00:00 PM,Manhattan,Park,Inwood Hill Park,Movies Under the Stars - Valerian City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,General Public,157
Recreation,Harlem Historic Parks,08/03/2018 06:00:00 PM,Manhattan,Park,Jackie Robinson Bandshell,Movies Under the Stars - The Jackie Robinson Story,Community Based Event,Mobile Unit,Movies,General Public,50
Recreation,Council Member Rivera,08/03/2018 12:00:00 PM,Manhattan,Park,Tompkins Square Park,Family Fun Day,Community Based Event,Family Festival,Play,General Public,415
Recreation,,08/02/2018 11:00:00 AM,Manhattan,Park,Marcus Garvey Park,Iron Kid,Tournament/Competition,Fitness,Fitness,Children,157
Recreation,,08/01/2018 06:00:00 PM,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars - Gifted,Community Based Event,Mobile Unit,Movies,General Public,146
